所属端,模块,一级菜单,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
供应商端,首页,工作台,工作台,数据概览,供应商运营数据看板,卡片式展示统计数据,供应商日常运营监控,无
供应商端,商户信息,商户信息,主体信息,查看信息,查看供应商主体信息,详情页展示,查看商户档案,获取主体信息接口
供应商端,商户信息,商户信息,主体信息,编辑信息,修改供应商基础信息,表单编辑提交,信息变更,更新主体信息接口
供应商端,商户信息,商户信息,合同列表,合同列表,查看供应商合同列表,列表展示,合同查看,合同列表接口
供应商端,商品中心,商品中心,商品列表,商品列表,供应商商品列表,列表展示,商品管理,商品列表接口
供应商端,商品中心,商品中心,商品列表,新增商品,提交商品到平台,表单填写信息,商品上架申请,创建商品接口
供应商端,商品中心,商品中心,商品列表,编辑商品,修改商品信息,表单编辑提交,商品信息更新,更新商品接口
供应商端,商品中心,商品中心,商品列表,商品详情,查看商品详细信息,详情页展示,商品查看,商品详情接口
供应商端,商品中心,商品中心,商品列表,上下架,商品上下架操作,操作按钮触发,商品状态变更,上下架接口
供应商端,商品中心,商品中心,库存记录,库存流水,商品库存变动记录,列表展示,库存流水查询,库存记录接口
供应商端,订单管理,订单管理,订单列表,订单列表,供应商订单列表,多Tab状态筛选,订单管理,订单列表接口
供应商端,订单管理,订单管理,订单列表,订单详情,查看订单详细信息,详情页展示,订单详情查看,订单详情接口
供应商端,订单管理,订单管理,订单列表,确认订单,确认待确认订单,确认操作,订单接单,确认订单接口
供应商端,订单管理,订单管理,订单列表,取消订单,取消订单,取消操作,订单取消,取消订单接口
供应商端,订单管理,订单管理,订单列表,订单发货,处理订单发货,弹窗填写物流信息,供应商发货,发货接口
供应商端,订单管理,订单管理,订单列表,物流公司非必填,发货时物流公司可空,去掉必填校验,灵活发货场景,无(前端处理)
供应商端,订单管理,订单管理,订单列表,物流单号非必填,发货时物流单号可空,去掉必填校验,自有配送场景,无(前端处理)
供应商端,订单管理,订单管理,售后管理,售后列表,售后订单列表,列表展示,售后管理,售后列表接口
供应商端,订单管理,订单管理,售后管理,货损处理,查看货损记录,详情页展示,货损补发处理,货损详情接口
供应商端,订单管理,订单管理,售后管理,补发处理,货损补发处理,补发操作按钮,货损补发流程,补发接口
供应商端,财务中心,财务中心,发票管理,发票列表,发票列表,列表展示,发票管理,发票列表接口
供应商端,财务中心,财务中心,发票管理,新增发票,上传发票,上传附件+表单,发票开具,创建发票接口
供应商端,财务中心,财务中心,发票管理,关联订单,发票关联对应订单,选择订单关联,一笔订单一个发票,发票关联接口
供应商端,财务中心,财务中心,发票管理,发票详情,查看发票详细信息,详情页展示,发票详情查看,发票详情接口
供应商端,财务中心,财务中心,发票管理,下载发票,下载发票附件,下载按钮,发票下载,无(文件下载)
供应商端,系统设置,系统设置,账号列表,账号列表,供应商账号列表,列表展示,账号管理,账号列表接口
供应商端,系统设置,系统设置,员工管理,员工列表,供应商员工列表,列表展示,员工管理,员工列表接口
供应商端,系统设置,系统设置,角色列表,角色列表,供应商角色列表,列表展示,角色管理,角色列表接口
供应商端,系统设置,系统设置,角色列表,权限配置,配置角色权限,勾选配置,权限分配,权限配置接口
