功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,工程仓端,首页,工作台,P1,工作台,数据概览,工程仓运营数据看板,仓管员/主管,登录成功,1.时间范围筛选(今日/本周/本月),1.今日订单数2.采购金额3.库存SKU数4.待收货数5.待发货订单,1.卡片式展示关键指标2.数字红绿趋势箭头,1.记录访问时间,1.无权限→跳转到无权限页,仓管员每日开工看运营数据,时间范围→查询统计接口→渲染指标卡片,1.时间范围选择器2.指标卡片3.趋势箭头,获取统计接口
待分配,,待开发,,,,工程仓端,商户中心,商户中心,P1,主体信息,查看信息,查看工程仓主体信息,仓管员/主管,登录成功,1.工程仓ID,1.主体名称2.统一社会信用代码3.法人信息4.地址5.联系方式,1.详情页展示,1.无,1.信息不存在→提示暂无数据,查看商户档案,用户token→获取主体信息→渲染页面,1.信息展示卡片2.编辑按钮,获取主体信息接口
待分配,,待开发,,,,工程仓端,商户中心,商户中心,P1,主体信息,编辑信息,修改工程仓基础信息,主管,登录成功,1.联系人2.联系电话3.地址4.营业执照图片,1.修改成功提示,1.点击编辑进入表单页2.实时表单校验,1.更新主体信息2.记录修改日志,1.手机号格式错误→标红提示,信息变更维护,表单数据→校验→提交更新接口,1.编辑按钮2.表单页面3.提交按钮,更新主体信息接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,商品浏览,供应商商品市场浏览,采购人员,登录成功,1.分类ID2.搜索关键词3.价格区间,1.商品卡片列表(图片/名称/规格/价格/库存),1.卡片式布局2.滚动加载更多,1.记录浏览埋点,1.加载失败→重试按钮,浏览商品准备下单,筛选条件→查询商品列表→渲染卡片,1.分类Tab2.搜索框3.商品卡片4.加载更多,商品列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,加入购物车,将商品加入购物车,采购人员,1.登录成功2.商品库存>0,1.商品SKU ID2.数量(默认1),1.成功提示"已加入购物车"2.购物车角标+1,1.点击"加入购物车"按钮2.数量选择器弹窗,1.购物车新增商品2.购物车总数更新,1.库存不足→提示"库存不足",选品采购,商品ID+数量→加入购物车接口,1.【加入购物车】按钮(每个卡片)2.数量选择器,购物车接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,购物车列表,查看购物车商品,采购人员,登录成功,1.无,1.商品列表2.选中商品总价,1.左滑删除2.数量增减,1.选中状态缓存,1.商品已下架→提示"商品已下架",购物车管理,查询购物车接口→渲染列表→计算总价,1.商品列表项2.数量加减按钮3.删除按钮4.结算按钮,购物车列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,结算下单,购物车商品结算下单,采购人员,1.登录成功2.至少选中一件商品,1.选中的购物车ID列表,1.跳转到确认订单页,1.点击"去结算"跳转,1.生成待确认订单,1.商品库存变化→提示"商品库存有变动",创建采购单,选中商品→创建临时订单→跳转确认页,1.结算按钮2.确认订单页面,创建订单接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,确认订单,确认订单信息,确认采购商品和金额,采购人员,1.临时订单已创建,1.无(确认提交),1.跳转到订单详情页,1.勾选同意协议2.点击"提交订单",1.正式订单生成2.扣减购物车3.发送通知,1.余额不足→提示"余额不足请充值",确认下单,确认信息→提交订单接口→生成正式订单,1.商品明细2.合计金额3.提交订单按钮,提交订单接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P0,商品列表,库存商品列表,查看仓库内库存商品,仓管员,登录成功,1.子仓库ID2.分类3.搜索关键词,1.商品列表2.每个商品库存数量,1.按仓库下拉筛选,1.筛选条件缓存,1.库存为0→红色标红,库存商品查看,子仓库ID→过滤库存商品→展示数量,1.仓库下拉选择器2.库存数字(0标红),商品列表接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P0,SKU库存详情,SKU库存详情,查看SKU在各仓库的库存,仓管员/主管,1.登录成功2.点击商品进入,1.SKU ID,1.各仓库库存分布2.批次明细列表3.出入库流水,1.分Tab展示库存/批次/流水2.库存不足标红,1.记录查看,1.无数据→显示空状态,库存详情查看,SKU ID→查询库存→查询批次→查询流水,1.Tab切换2.库存分布卡片3.批次表格4.流水列表,SKU库存接口
