开发状态,所属端,模块,一级菜单,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口,
待开发,供应商端,首页,工作台,工作台,数据概览,供应商运营数据看板,管理员/业务员,登录成功,1.时间范围(今日/本周/本月),1.订单总金额2.订单总数3.待发货订单数4.待结算金额5.在售商品数6.本月新增订单,1.卡片式布局2.关键指标高亮3.趋势箭头,1.记录访问时间2.默认展示今日,1.无权限→跳转403页,供应商日常运营数据监控,时间范围→统计接口→计算趋势→渲染指标卡片,1.时间选择器2.数字卡片3.趋势箭头,供应商统计接口,不做
待开发,供应商端,商户中心,商户中心,主体信息,查看主体信息,所有人员,登录成功,1.供应商ID,1.供应商名称2.统一社会信用代码3.法人信息4.联系人+电话,1.卡片式展示2.敏感信息脱敏,1.无,1.信息不存在→显示"-",查看供应商档案,token→获取主体信息→渲染,1.信息卡片2.编辑按钮,主体信息接口,,
待开发,供应商端,商户中心,,主体信息,编辑信息,修改供应商基础信息,管理员,登录成功,1.联系人2.联系电话(手机号正则)3.地址4.营业执照图片,1.修改成功toast提示,1.表单页面2.实时校验标红3.图片上传进度,1.更新主体信息2.记录修改日志,1.手机号格式错误→标红提示,供应商信息变更,表单提交→前端校验→更新接口,1.编辑按钮2.表单页面3.提交按钮,更新信息接口,不做
待开发,供应商端,商品管理,商品管理,商品列表,商品列表,供应商商品列表,运营/管理员,登录成功,1.商品状态(已上架/已下架/待审核)2.分类3.搜索关键词,1.分页商品列表2.商品状态彩色标签,1.多Tab状态快速切换2.上下架按钮置灰逻辑,1.无,1.无数据→空状态按钮,供应商商品管理中心,状态筛选→分页查询→渲染列表,1.状态Tab切换2.商品卡片3.状态标签4.上下架按钮,商品列表接口,
待开发,供应商端,商品管理,,商品列表,商品详情,查看商品详情,运营人员,1.登录成功2.商品存在,1.商品SKU ID,1.商品基础信息2.规格属性3.供货价4.库存5.各工程仓报价,1.详情页分Tab展示,1.记录查看,1.商品不存在→返回列表,商品详情查看,SKU ID→查询详情→渲染,1.商品名称链接2.详情页,商品详情接口,
待开发,供应商端,商品管理,,商品列表,商品上架,供应商商品上架,运营人员,1.登录成功2.商品状态="已下架",1.商品SKU ID列表(支持批量),1.成功上架提示,1.单行操作即时反馈2.批量操作进度条,1.商品状态变"已上架"2.工程仓端可见,1.重复上架→提示"已上架",商品上架销售,状态更新→工程仓端商品可见,1.上架按钮2.批量操作复选框,商品上架接口,
待开发,供应商端,商品管理,,商品列表,商品下架,供应商商品下架,运营人员,1.登录成功2.商品状态="已上架",1.商品SKU ID列表2.下架原因(非必填),1.下架成功提示,1.二次确认弹窗,1.商品状态变"已下架"2.工程仓端不可见,1.重复下架→提示"已下架",商品临时下架,状态更新→工程仓端不可见,1.下架按钮2.确认弹窗3.下架原因输入,商品下架接口,
待开发,供应商端,商品管理,,商品列表,设置供货价,设置工程仓供货价格,运营/管理员,登录成功,1.商品SKU ID2.供货价格(>0),1.保存成功提示,1.弹窗编辑价格2.价格校验>0,1.更新供货价2.记录价格变更历史,1.价格≤0→提示"价格必须大于0",工程仓差异化定价,价格设置→更新供货关系表,1.设置价格按钮2.编辑弹窗,价格设置接口,
待开发,供应商端,商品管理,,新增商品,新增商品申请,申请新增商品,运营/管理员,登录成功,1.SPU名称(必填)2.所属分类3.规格属性4.主图(必填)5.供货价6.商品描述,1.提交成功提示状态变"待审核",1.多步骤表单2.每步校验通过进下一步,1.商品进入审核队列2.平台端可审核,1.必填项为空→表单校验,供应商新增商品到平台,填写信息→提交申请→平台审核→上架,1.新增商品按钮2.步骤条3.提交按钮,新增商品申请接口,
待开发,供应商端,商品管理,,新增商品,商品列表,新增商品申请列表,运营/管理员,登录成功,1.审核状态(待审核/已通过/已驳回),1.申请单列表,1.状态Tab切换,1.无,1.无数据→空状态,新增申请管理,状态筛选→分页查询,1.状态Tab2.申请单列表,申请列表接口,
