功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,供应商端,首页,工作台,P1,工作台,数据概览,供应商运营数据看板,供应商管理员/业务员,登录成功,1.时间范围筛选(今日/本周/本月),1.订单总金额2.订单数3.待发货4.待结算金额5.在售商品数,1.关键指标卡片2.趋势箭头,1.记录访问,1.无权限→跳转403,供应商日常运营监控,时间范围→查询统计接口→渲染卡片,1.指标卡片2.时间选择器,获取统计接口
待分配,,待开发,,,,供应商端,商品中心,商品中心,P0,商品列表,商品列表,供应商商品列表,运营人员,登录成功,1.商品状态(上架/下架)2.分类3.搜索,1.商品列表2.库存数量3.价格,1.Tab切换上下架,1.无,1.无数据→空状态,商品管理,筛选→查询商品列表→渲染,1.状态Tab2.商品列表3.操作按钮,商品列表接口
待分配,,待开发,,,,供应商端,商品中心,商品中心,P0,商品列表,新增商品,提交商品到平台,运营人员,登录成功,1.商品名称2.分类3.规格4.图片5.供货价,1.成功提示,1.多步骤表单,1.商品状态="待审核",1.必填项为空→表单校验,商品上架申请,填写信息→提交→平台审核,1.新增按钮2.步骤表单3.提交按钮,创建商品接口
待分配,,待开发,,,,供应商端,商品中心,商品中心,P0,商品列表,上下架,商品上下架操作,运营人员,1.登录成功2.审核通过,1.商品ID2.目标状态,1.成功提示,1.开关切换2.二次确认,1.更新商品状态,1.已下架商品工程仓不可见,商品状态变更,点击开关→确认→更新状态,1.上下架开关2.确认弹窗,上下架接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P0,订单列表,订单列表,供应商订单列表,业务员/客服,登录成功,1.订单状态(待确认/待发货/已完成/已取消)2.时间范围,1.多Tab切换状态2.订单列表3.合计金额,1.Tab切换2.点击进入详情,1.无,1.无数据→空状态,订单管理,状态筛选→分页查询→渲染卡片,1.状态Tab2.订单卡片3.操作按钮,订单列表接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P0,订单列表,订单详情,查看订单详细信息,业务员/客服,1.登录成功2.订单存在,1.订单ID,1.工程仓信息2.商品明细3.收货地址4.状态时间线,1.竖向时间线,1.标记已查看,1.订单不存在→返回列表,订单详情查看,订单ID→查询详情→渲染,1.时间线2.商品明细3.发货按钮,订单详情接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P0,订单列表,确认订单,确认待确认订单,业务员,1.登录成功2.订单状态="待确认",1.订单ID,1.成功提示刷新状态,1.确认按钮,1.状态变"待发货",1.重复确认→提示"已确认",订单接单,点击确认→更新状态→通知工程仓,1.【确认订单】按钮,确认订单接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P0,订单列表,订单发货,处理订单发货,仓管/业务员,1.登录成功2.订单状态="待发货",1.订单ID2.物流公司(非必填)3.物流单号(非必填)4.发货备注,1.成功提示状态变"已完成",1.弹窗填写物流信息,1.状态变"已发货"2.发送通知,1.无(物流字段非必填),供应商发货,填写物流信息→提交→更新订单状态,1.【发货】按钮2.物流信息弹窗,发货接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P1,售后管理,售后列表,售后订单列表,客服/主管,登录成功,1.售后状态,1.售后列表2.货损信息,1.列表展示,1.无,1.无数据→空状态,售后管理,筛选→查询售后列表→渲染,1.售后列表2.处理按钮,售后列表接口
待分配,,待开发,,,,供应商端,订单管理,订单管理,P1,售后管理,补发处理,货损补发处理,客服/主管,1.登录成功2.有货损记录,1.售后ID2.补发备注,1.处理成功提示,1.补发按钮触发,1.生成补发订单2.状态更新,1.重复补发→提示已处理,货损补发流程,确认补发→创建补发订单→同步工程仓,1.【补发】按钮2.备注输入,补发接口
待分配,,待开发,,,,供应商端,财务中心,财务中心,P1,发票管理,新增发票,上传发票,财务人员,登录成功,1.发票文件2.发票号码3.关联订单号,1.上传成功提示,1.文件上传进度,1.生成发票记录,1.文件过大→提示压缩,发票开具管理,上传→关联订单→生成发票记录,1.上传按钮2.文件选择,创建发票接口
待分配,,待开发,,,,供应商端,财务中心,财务中心,P1,发票管理,关联订单,发票关联对应订单,财务人员,1.登录成功2.发票已上传,1.发票ID2.订单ID,1.关联成功提示,1.选择订单弹窗,1.更新发票关联关系,1.已关联→提示"已关联",一笔订单一个发票,选择订单→更新关联关系,1.关联按钮2.订单选择弹窗,发票关联接口
待分配,,待开发,,,,供应商端,系统设置,系统设置,P1,账号列表,账号列表,供应商账号列表,主管,登录成功,1.搜索,1.账号列表,1.列表展示,1.无,1.无数据→空状态,账号管理,查询账号列表→渲染,1.账号列表2.操作按钮,账号列表接口
