功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,工程仓端,首页,工作台,P1,工作台,数据概览,工程仓运营数据看板,仓管员/采购/主管,登录成功,1.时间范围(今日/本周/本月),1.今日订单数2.采购总金额3.库存SKU种类4.待收货单数5.待发货6.库存预警数,1.卡片式布局2.红绿趋势箭头3.预警数字红色标红,1.记录访问时间2.默认展示今日数据,1.无权限→跳转403,仓管员每日开工看数据,时间范围→统计接口→计算趋势→渲染指标卡片,1.时间范围选择器2.指标数字卡片3.红色预警标,获取工程仓统计接口
待分配,,待开发,,,,工程仓端,商户中心,商户中心,P1,主体信息,查看信息,查看工程仓主体信息,所有人员,登录成功,1.工程仓ID,1.主体名称2.统一社会信用代码3.法人信息4.注册地址5.联系人+电话,1.详情页卡片式展示2.敏感信息脱敏,1.无,1.信息不存在→显示"-",查看商户档案,用户token→获取主体信息→渲染展示,1.信息展示卡片2.编辑按钮,获取主体信息接口
待分配,,待开发,,,,工程仓端,商户中心,商户中心,P1,主体信息,编辑信息,修改工程仓基础信息,主管/管理员,登录成功,1.联系人2.联系电话(手机号格式)3.详细地址4.营业执照图片,1.修改成功toast提示,1.表单页面2.实时校验标红3.图片上传进度,1.更新主体信息2.记录修改日志,1.手机号格式错误→标红提示,主体信息变更维护,表单数据→前端校验→提交更新接口,1.编辑按钮2.表单页面3.提交/取消按钮,更新主体信息接口
待分配,,待开发,,,,工程仓端,商户中心,商户中心,P2,合同列表,合同列表查询,查看工程仓合同列表,主管/财务,登录成功,1.合同状态(生效/已过期)2.时间范围,1.合同分页列表,1.列表展示,1.无,1.无数据→空状态,合同归档查看,筛选条件→分页查询,1.筛选表单2.合同列表,合同列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,商品浏览,供应商商品市场浏览,采购人员,登录成功,1.分类ID2.搜索关键词3.价格区间4.排序(价格/销量),1.商品卡片列表(图片/名称/规格/价格/库存),1.卡片式布局2.滚动加载更多3.下拉刷新,1.记录浏览埋点,1.加载失败→显示重试按钮,浏览供应商商品准备下单,筛选条件→查询商品列表→渲染卡片,1.分类Tab2.搜索框3.商品卡片4.加载更多,商品列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,分类筛选,按分类筛选商品,采购人员,登录成功,1.分类ID,1.该分类下商品列表,1.点击分类Tab切换,1.筛选条件缓存,1.分类下无商品→显示空插画,快速按分类找商品,点击分类→传categoryId→查询刷新列表,1.分类Tab栏2.选中分类高亮,商品列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,搜索商品,按关键词搜索商品,采购人员,登录成功,1.搜索关键词,1.匹配的商品列表,1.输入后搜索按钮触发,1.搜索历史缓存,1.无结果→显示"找不到相关商品",快速查找特定商品,输入关键词→搜索→刷新结果,1.搜索输入框2.搜索按钮,商品列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,加入购物车,将商品加入购物车,采购人员,1.登录成功2.商品库存>0,1.商品SKU ID2.数量(默认1,≤库存),1.成功toast"已加入购物车"2.购物车角标数字+1,1.点击"加入购物车"按钮2.数量选择器弹窗,1.购物车新增商品2.购物车总数更新,1.库存不足→提示"库存不足,仅剩N件",工程仓采购选品,商品ID+数量→加入购物车接口,1.每个卡片【加入购物车】按钮2.数量选择器,购物车接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,商品列表,商品详情,查看商品详细信息,采购人员,1.登录成功2.点击商品卡片,1.SKU ID,1.商品图片2.详细规格3.供货价4.供应商5.库存数量,1.详情页展示,1.记录查看日志,1.商品已下架→提示"商品已下架",查看商品详情决定是否采购,SKU ID→查询详情→渲染页面,1.商品卡片点击区域2.详情页,商品详情接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,购物车列表,查看购物车商品,采购人员,登录成功,1.无,1.商品列表2.选中商品总价格,1.左滑删除2.数量增减按钮,1.选中状态本地缓存,1.商品已下架→灰色置灰不可选,购物车商品管理,查询购物车接口→渲染列表→计算总价,1.商品列表项2.数量加减3.删除按钮4.去结算,购物车列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,修改商品数量,修改购物车商品数量,采购人员,1.登录成功2.商品在购物车,1.购物车项ID2.目标数量(≥1≤库存),1.自动重新计算总价,1.点击+/-按钮2.数量变化即时生效,1.更新购物车数量,1.数量>库存→提示"超出库存",调整采购数量,点击加减→更新数量→重新算总价,1.+-按钮2.数字输入框,购物车更新接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,删除商品,删除购物车商品,采购人员,1.登录成功2.商品在购物车,1.购物车项ID,1.删除成功提示2.重新计算总价,1.左滑出现删除按钮2.二次确认,1.购物车移除商品,1.删除失败→提示重试,移除不需要的商品,左滑删除→确认→调用删除接口,1.左滑删除按钮2.确认弹窗,购物车删除接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,购物车,结算下单,购物车商品结算下单,采购人员,1.登录成功2.至少选中一件商品,1.选中的购物车项ID数组,1.跳转到确认订单页面,1.点击"去结算"按钮跳转,1.生成临时待确认订单,1.选中商品库存变化→提示"商品库存有变动请重新确认",购物车生成采购单,选中商品→创建临时订单→跳转确认页,1.【去结算】按钮2.确认订单页面,创建订单接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P0,确认订单,确认订单信息,确认采购商品和金额,采购人员,1.临时订单已创建,1.无(点击确认提交),1.提交成功跳转订单详情,1.勾选同意协议2.点击"提交订单",1.生成正式采购订单2.清空对应购物车3.发通知,1.余额不足→提示"余额不足请充值",确认下单生成正式订单,确认信息→提交订单接口→生成正式订单,1.商品明细2.合计金额3.提交按钮,提交订单接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P1,采购计划,计划列表,查看采购计划列表,采购/主管,登录成功,1.计划状态2.时间范围,1.采购计划分页列表,1.多Tab状态筛选,1.无,1.无数据→空状态,采购计划管理,状态筛选→分页查询,1.状态Tab2.计划列表,计划列表接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P1,采购计划,新建计划,创建采购计划,采购/主管,登录成功,1.计划名称2.计划商品列表3.预计采购时间,1.创建成功提示,1.多步骤选择商品,1.生成采购计划,1.商品为空→提示"至少选择一个商品",制定采购计划,选择商品→设置时间→创建计划,1.新建计划按钮2.商品选择器3.提交按钮,创建计划接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P1,采购计划,计划详情,查看采购计划详情,采购/主管,1.登录成功2.计划存在,1.计划ID,1.计划基本信息2.商品明细列表,1.详情页展示,1.记录查看,1.计划不存在→返回列表,计划详情查看,计划ID→查询详情→渲染,1.计划信息卡片2.商品明细,计划详情接口
待分配,,待开发,,,,工程仓端,商品市场,商品市场,P2,采购计划,计划转订单,采购计划转成正式订单,采购人员,1.登录成功2.计划状态="待执行",1.计划ID,1.转单成功跳转订单,1.转单按钮,1.生成正式订单2.计划状态变"已执行",1.部分商品下架→提示"有商品已下架",计划执行,计划→转成正式采购订单,1.【转成订单】按钮,转订单接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P0,商品列表,库存商品列表,查看仓库内库存商品,仓管员/采购,登录成功,1.子仓库ID2.分类3.搜索关键词,1.商品列表2.每个商品库存数量,1.子仓库下拉筛选,1.筛选条件缓存,1.库存为0→红色标红显示,查看工程仓各商品库存,子仓库ID→过滤库存商品→显示数量,1.子仓库下拉选择器2.库存数字(0标红),商品库存列表接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P0,商品列表,按仓库筛选,按子仓库筛选商品,仓管员,登录成功,1.子仓库ID,1.该仓库下商品库存,1.下拉选择,1.筛选条件缓存,1.无权限仓库→不显示,分仓库查看库存,选择子仓库→刷新库存列表,1.仓库下拉选择器2.选中项高亮,商品库存列表接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P1,SPU详情,SPU详情查看,查看SPU信息,仓管员/采购,1.登录成功2.点击SPU,1.SPU ID,1.SPU基本信息2.规格属性,1.详情页展示,1.记录查看,1.SPU不存在→提示返回,商品信息查看,SPU ID→查询详情→渲染,1.SPU名称链接2.信息卡片,SPU详情接口
待分配,,待开发,,,,工程仓端,商品中心,商品中心,P0,SKU库存详情,SKU库存详情,查看SKU在各仓库库存,仓管员/主管,1.登录成功2.点击SKU进入,1.SKU ID,1.各仓库库存分布2.批次明细列表3.出入库流水记录,1.分Tab展示库存/批次/流水2.库存不足红色标红,1.记录查看,1.无数据→显示空状态,库存详情深入查看,SKU ID→查询库存→查询批次→查询流水,1.Tab切换2.库存分布卡片3.批次表格4.流水列表,SKU库存接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P1,仓库列表,仓库列表,查看工程仓下的子仓库列表,主管/仓管,登录成功,1.仓库状态,1.子仓库列表2.每个仓库库存汇总,1.列表展示,1.无,1.无数据→空状态,子仓库管理,查询仓库列表→渲染,1.仓库列表卡片2.查看详情链接,仓库列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P1,仓库详情,仓库详情,查看子仓库详细信息,仓管员,1.登录成功2.仓库存在,1.仓库ID,1.仓库基本信息2.管理员3.该仓商品列表,1.详情页展示,1.记录查看,1.仓库不存在→返回列表,仓库详情查看,仓库ID→查询详情→渲染,1.仓库名称链接2.信息卡片,仓库详情接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-列表,入库单列表管理,仓管员,登录成功,1.入库状态(待收货/已完成/已取消)2.时间范围,1.多Tab切换状态2.入库单列表3.每个单批次数量显示,1.点击状态Tab切换2.每个入库单显示批次数量,1.筛选条件缓存,1.无数据→空状态,入库管理主页面,状态筛选→分页查询→显示列表,1.状态Tab切换2.入库单卡片3.批次数量标签,入库列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-批次详情,查看完整批次记录,仓管员,1.登录成功2.多批次入库单,1.入库单ID,1.批次明细列表(批次号/数量/仓库/时间/操作员),1.弹窗展示完整明细,1.无,1.无批次→不显示按钮,多批次入库明细查看,点击"查看批次"→请求详情→弹窗展示,1.【查看批次】按钮2.详情弹窗,批次详情接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-开始收货,处理采购订单收货,仓管员,1.登录成功2.入库单状态="待收货",1.入库单ID2.每个SKU实收数量(≥0)3.货损数量(≥0)4.货损证明图片(非必填)5.货损说明(选填),1.收货成功提示跳转详情页,1.弹窗填写各数量2.上传货损图片显示预览,1.入库状态变"已完成"2.对应商品库存增加3.生成货损记录,1.实收数量<0→校验不通过,采购订单到货入库,填数量→提交→更新库存+状态+货损记录,1.【开始收货】按钮2.数量输入框3.图片上传区,收货接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,入库管理-货损记录,收货时记录货损信息,仓管员,1.登录成功2.正在收货,1.货损数量2.货损图片3.货损说明,1.保存成功,1.上传图片预览,1.生成货损记录2.触发售后补发流程,1.货损数量>实收→提示"货损不能大于实收数量",收货异常处理,填写货损→提交→生成货损记录触发售后,1.货损数量输入2.图片上传3.说明输入框,货损接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,出库管理-列表,出库单列表管理,仓管员,登录成功,1.出库状态(待出库/已完成/已取消)2.时间范围,1.多Tab切换状态2.出库单列表,1.Tab切换状态,1.无,1.无数据→空状态,出库管理列表,状态筛选→分页查询→展示列表,1.状态Tab2.出库单卡片,出库列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P0,出入库管理,出库管理-确认出库,确认商品出库,仓管员,1.登录成功2.出库单状态="待出库",1.出库单ID2.实发数量,1.出库成功提示状态变"已完成",1.二次确认弹窗,1.库存扣减2.状态更新,1.实发>库存→提示"库存不足",商品出库核验,点击确认出库→弹窗→扣减库存,1.【确认出库】按钮2.确认弹窗,出库接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P2,出入库管理,打印单据,打印出入库单据,仓管员,1.登录成功2.单据已完成,1.单据ID,1.打印预览,1.打印按钮触发浏览器打印,1.打印次数记录,1.打印失败→提示重试,凭证留存归档,点击打印→浏览器打印功能,1.【打印】按钮,无(前端打印)
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P2,库存盘点,盘点列表,盘点单列表管理,仓管/主管,登录成功,1.盘点状态2.时间范围,1.盘点单列表,1.多Tab筛选,1.无,1.无数据→空状态,库存盘点管理,状态筛选→分页查询,1.状态Tab2.盘点单列表,盘点列表接口
待分配,,待开发,,,,工程仓端,仓库管理,仓库管理,P2,库存盘点,创建盘点单,创建库存盘点任务,主管,登录成功,1.盘点仓库2.盘点商品范围,1.创建成功提示,1.选择范围弹窗,1.生成盘点单2.相关人收到通知,1.盘点中→提示"该仓正在盘点中",定期库存盘点,选择范围→创建盘点任务→通知仓管,1.创建盘点按钮2.范围选择,创建盘点接口
