所属端,模块,一级菜单,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
平台端,首页,工作台,工作台,数据概览,展示平台整体运营数据看板,卡片式展示统计数据,管理员日常运营监控,无
平台端,商户管理,商户管理,商户列表,商户列表查询,按条件筛选查询所有商户信息,列表展示+筛选条件,管理员查看所有商户,获取商户列表接口
平台端,商户管理,商户管理,商户列表,新增商户,创建新的商户主体,表单弹窗填写信息,入驻商户准入,创建商户接口
平台端,商户管理,商户管理,商户列表,商户详情,查看商户的详细信息,详情页展示主体信息,查看商户档案,获取商户详情接口
平台端,商户管理,商户管理,商户列表,商户编辑,修改商户的基础信息,表单编辑,商户信息变更,更新商户接口
平台端,商户管理,商户管理,商户列表,商户审核,审核商户入驻申请,通过/驳回操作,商户入驻流程,审核接口
平台端,商户管理,商户管理,合同列表,合同列表查询,查询商户合同列表,列表展示,合同管理,获取合同列表接口
平台端,商户管理,商户管理,合同列表,新增合同,上传商户合同,上传附件+表单,合同签署,创建合同接口
平台端,商品管理,商品管理,商品分类,分类树管理,维护商品分类树形结构,拖拽排序+增删改,商品分类体系维护,分类增删改接口
平台端,商品管理,商品管理,规格属性,属性组管理,维护规格属性分组,列表管理,规格体系维护,属性组接口
平台端,商品管理,商品管理,规格属性,属性值管理,维护每个属性的可选值,增删改操作,规格值维护,属性值接口
平台端,商品管理,商品管理,SPU管理,SPU列表查询,查询SPU商品列表,列表+筛选,商品库管理,SPU列表接口
平台端,商品管理,商品管理,SPU管理,新增SPU,创建SPU商品,多步骤表单,商品定义,创建SPU接口
平台端,商品管理,商品管理,SPU管理,SPU详情,查看SPU详细信息,详情页展示,查看商品定义,SPU详情接口
平台端,商品管理,商品管理,SKU管理,SKU列表查询,查询SKU商品列表,列表+筛选,SKU管理,SKU列表接口
平台端,商品管理,商品管理,SKU管理,SKU详情,查看SKU详细信息,详情页展示基本信息+价格+供应商,查看商品详情,SKU详情接口
平台端,商品管理,商品管理,SKU管理,SKU编辑,修改SKU价格等信息,表单编辑提交,价格调整,更新SKU接口
平台端,商品管理,商品管理,供应商供货,供货列表查询,查看供应商供货关系,列表展示,供应商供货管理,供货列表接口
平台端,商品管理,商品管理,供应商供货,设置供货价,设置供应商的供货价格,弹窗编辑价格,供应商商品定价,设置供货价接口
平台端,商品市场,商品市场,供应商品市场,商品列表,查看供应商供应的商品列表,列表+筛选,供应商品池管理,商品列表接口
平台端,商品市场,商品市场,供应商品市场,上下架管理,供应商商品上下架操作,操作按钮触发,商品上架审核,上下架接口
平台端,商品市场,商品市场,销售商品市场,商品列表,按工程仓+子仓库筛选查看销售商品,二级联动筛选,工程仓商品管理,商品列表接口
平台端,商品市场,商品市场,销售商品市场,仓库筛选,按项目工程仓筛选商品,下拉选择筛选,多仓库商品查看,无(前端筛选)
平台端,商品市场,商品市场,BOM基装包,BOM列表,查看BOM组合商品列表,列表展示,BOM套餐管理,BOM列表接口
平台端,商品市场,商品市场,BOM基装包,创建BOM,创建BOM组合商品,多步骤表单选择商品,BOM套餐定义,创建BOM接口
平台端,商品市场,商品市场,BOM基装包,BOM详情,查看BOM详细信息,详情页展示,BOM详情查看,BOM详情接口
平台端,商品市场,商品市场,价格管理,价格列表,商品价格监控列表,列表展示,价格管理,价格列表接口
平台端,商品市场,商品市场,采购计划,计划列表,查看采购计划,列表展示,采购计划管理,计划列表接口
平台端,订单管理,订单管理,订单列表,全量订单查询,查询所有端的订单列表,列表+筛选,全量订单监控,订单列表接口
平台端,订单管理,订单管理,订单详情,查看订单详细信息,详情页展示,订单查看,订单详情接口
平台端,订单管理,订单管理,采购订单,平台采购订单,查看平台采购订单,列表展示,采购管理,采购订单列表接口
平台端,订单管理,订单管理,销售订单,平台销售订单,查看平台销售订单,列表展示,销售管理,销售订单列表接口
平台端,库存管理,库存管理,库存总览,全平台库存统计,按维度统计展示库存数据,统计看板,库存监控,库存统计接口
平台端,库存管理,库存管理,仓库列表,仓库列表查询,查看所有仓库列表,列表展示,仓库管理,仓库列表接口
平台端,库存管理,库存管理,仓库详情,查看仓库详细库存,详情页展示,仓库库存查看,仓库详情接口
平台端,库存管理,库存管理,调拨管理,库存调拨列表,查看跨仓库调拨记录,列表展示,库存调拨管理,调拨列表接口
平台端,库存管理,库存管理,调拨管理,创建调拨单,创建仓库间调拨单,表单提交,库存调拨操作,创建调拨接口
平台端,库存管理,库存管理,出入库记录,出入库流水,查看所有出入库记录,列表+筛选,库存流水查询,流水列表接口
平台端,库存管理,库存管理,盘点管理,盘点列表,查看盘点单列表,列表展示,库存盘点管理,盘点列表接口
平台端,库存管理,库存管理,盘点管理,盘点详情,查看盘点单详情,详情页展示,盘点结果查看,盘点详情接口
平台端,财务中心,财务中心,应收记录,应收列表,应收账款记录,列表展示,应收管理,应收列表接口
平台端,财务中心,财务中心,分账记录,分账列表,订单分账记录,列表展示,分账结果查询,分账列表接口
平台端,财务中心,财务中心,支付记录,支付流水,所有支付记录查询,列表+筛选,支付流水监控,支付列表接口
平台端,财务中心,财务中心,进项发票,进项发票列表,收到的进项发票,列表展示,进项发票管理,发票列表接口
平台端,财务中心,财务中心,销项发票,销项发票列表,开具的销项发票,列表展示,销项发票管理,发票列表接口
平台端,财务中心,财务中心,发票管理,发票详情,查看发票详细信息,详情页展示,发票详情查看,发票详情接口
平台端,系统设置,系统设置,用户管理,用户列表,平台用户列表,列表展示,用户管理,用户列表接口
平台端,系统设置,系统设置,员工管理,员工列表,平台员工列表,列表展示,员工管理,员工列表接口
