所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
施工方端,登录,登录,P0,登录,手机号登录,手机号验证码登录,输入手机号+验证码,施工方人员登录,登录接口
施工方端,登录,登录,P0,登录,密码登录,账号密码登录,输入账号密码,管理员账号登录,登录接口
施工方端,登录,登录,P1,登录,忘记密码,重置密码流程,重置流程,密码找回,重置密码接口
施工方端,首页,首页,P0,首页,项目列表,施工方负责的项目列表,列表展示,项目切换,项目列表接口
施工方端,首页,首页,P0,首页,项目切换,切换不同的项目仓库,点击切换项目,多项目管理,无(前端缓存)
施工方端,首页,首页,P1,首页,项目概览,项目仓库数据概览,卡片式展示,项目数据监控,项目统计接口
施工方端,首页,首页,P1,工程仓列表,工程仓列表,可用的工程仓列表,列表展示,工程仓选择,工程仓列表接口
施工方端,首页,首页,P1,项目详情,项目详情,项目详细信息,详情页展示,项目信息查看,项目详情接口
施工方端,商品市场,商品市场,P0,商品列表,商品浏览,工程仓商品市场浏览,卡片式展示商品,浏览商品准备下单,商品列表接口
施工方端,商品市场,商品市场,P0,商品列表,分类筛选,按商品分类筛选,分类Tab切换,商品分类浏览,无(前端筛选)
施工方端,商品市场,商品市场,P0,商品列表,搜索商品,按关键词搜索商品,搜索框输入,快速找商品,商品列表接口
施工方端,商品市场,商品市场,P0,商品列表,加入购物车,将商品加入购物车,点击加入购物车按钮,选品采购,购物车接口
施工方端,商品市场,商品市场,P0,商品列表,商品详情,查看商品详细信息,详情页展示,商品详情查看,商品详情接口
施工方端,购物车,购物车,P0,购物车,购物车列表,查看购物车商品,列表展示,购物车管理,购物车列表接口
施工方端,购物车,购物车,P0,购物车,修改数量,修改购物车商品数量,数量增减按钮,调整采购量,购物车更新接口
施工方端,购物车,购物车,P0,购物车,删除商品,删除购物车商品,左滑删除,移除商品,购物车删除接口
施工方端,购物车,购物车,P0,购物车,清空购物车,一键清空购物车,清空按钮,清空所有商品,清空购物车接口
施工方端,购物车,购物车,P0,购物车,结算下单,购物车商品结算下单,跳转确认订单页面,创建采购单,创建订单接口
施工方端,订单,订单,P0,订单列表,采购订单列表,施工方采购订单,多Tab状态筛选,订单管理,订单列表接口
施工方端,订单,订单,P0,订单列表,订单详情,订单详细信息,详情页展示,订单详情查看,订单详情接口
施工方端,订单,订单,P0,订单列表,取消订单,取消待确认订单,取消操作,订单取消,取消订单接口
施工方端,订单,订单,P0,订单列表,确认收货,确认订单收货,确认操作按钮,收到货物,收货接口
施工方端,订单,订单,P1,订单列表,申请售后,发起售后申请,申请弹窗,商品有问题,售后申请接口
施工方端,订单,订单,P1,订单列表,订单跟踪,订单物流状态跟踪,物流时间线,物流查询,物流接口
施工方端,库存,库存,P1,库存查询,库存列表,查看商品库存,列表展示,库存查询,库存列表接口
施工方端,库存,库存,P2,库存查询,库存详情,查看商品库存详情,详情页展示,库存详情查看,库存详情接口
施工方端,个人中心,个人中心,P1,个人信息,查看信息,查看个人信息,详情页展示,个人信息查看,用户信息接口
施工方端,个人中心,个人中心,P1,个人信息,修改信息,修改个人基础信息,表单编辑提交,信息变更,更新信息接口
施工方端,个人中心,个人中心,P1,修改密码,修改登录密码,密码表单,修改密码,修改密码接口
施工方端,个人中心,个人中心,P3,意见反馈,意见反馈,提交反馈意见,反馈表单,系统优化建议,反馈接口
施工方端,个人中心,个人中心,P3,关于我们,关于页面,系统关于信息,静态页面,系统介绍,无
施工方端,个人中心,个人中心,P0,退出登录,退出登录,退出按钮点击,退出系统,退出登录接口
