功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,平台端,首页,工作台,P1,工作台,数据概览,展示平台整体运营数据看板,平台管理员/运营,登录成功,1.时间范围(今日/本周/本月/本季),1.商户总数2.订单总数3.交易总额4.商品SKU数5.今日新增,1.卡片式布局2.红绿趋势箭头3.数字千分位格式化,1.记录访问埋点2.默认展示今日数据,1.无权限→跳转403,平台运营每日开工数据监控,时间范围→统计接口→计算趋势→渲染指标卡片,1.时间范围选择器2.指标数字卡片3.上升/下降箭头,获取运营统计接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P0,商户列表,商户列表查询,按条件筛选查询所有商户信息,平台管理员,登录成功,1.商户名称(模糊匹配)2.商户状态(待审核/已通过/已驳回/已冻结)3.商户类型(工程仓/供应商/施工方)4.创建时间范围,1.总条数2.分页列表(每页20条)3.筛选条件回显,1.输入后自动查询2.支持重置筛选条件3.状态标签不同颜色,1.筛选条件保留在URL参数2.列表按创建时间倒序,1.网络错误→重试按钮2.无数据→显示空插画,平台运营日常巡检所有入驻商户,筛选参数→分页查询→不同颜色标记状态,1.搜索框2.状态下拉3.高级筛选面板4.分页组件5.状态彩色标签,商户列表查询接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P0,商户列表,新增商户,创建新的商户主体,平台管理员,登录成功,1.商户名称(必填,2-50字)2.商户类型(必填,下拉单选)3.统一社会信用代码(必填,18位格式校验)4.法人姓名(必填,2-20字)5.法人手机号(必填,手机号正则校验)6.营业执照图片(必填,jpg/png,≤5M),1.成功→返回商户ID+toast提示2.失败→返回具体字段错误,1.弹窗表单打开2.实时校验标红3.图片上传显示进度4.提交按钮置灰直到必填完成,1.商户表新增一条记录2.状态默认为"待审核"3.触发待审核通知,1.信用代码重复→提示"该信用代码已注册"2.图片过大→压缩提示3.手机号格式错→标红,快速录入合作商户,表单数据→前端校验→提交接口→数据入库→通知审核,1.【新增商户】主按钮2.8字段表单弹窗3.图片上传区4.提交/取消按钮,创建商户接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P0,商户列表,商户详情,查看商户的完整档案,平台管理员,1.登录成功2.列表有数据,1.商户ID(路径参数),1.主体基本信息(脱敏展示)2.资质文件展示3.审核历史时间线4.关联订单统计,1.点击商户名称跳转新页面2.分Tab展示不同维度3.敏感信息手机号脱敏,1.记录查看操作日志,1.商户不存在→提示"商户不存在"+返回按钮,查看特定商户完整信息,商户ID→查询详情接口→组装数据→分Tab渲染,1.商户名称超链接2.返回按钮3.Tab切换4.时间线组件,商户详情接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P0,商户列表,商户审核,审核商户入驻申请,平台管理员,1.登录成功2.商户状态="待审核",1.商户ID2.审核结果(通过/驳回)3.驳回原因(驳回时必填,10-200字)4.审核备注(可选),1.成功→提示"审核成功"刷新列表2.失败→提示失败原因,1.点击"审核"按钮打开弹窗2.驳回自动显示"驳回原因"输入框3.通过不需要输入原因,1.更新商户状态2.记录审核人+时间3.发送审核结果通知,1.重复审核→提示"该商户已审核"2.驳回原因为空→表单校验不通过,商户入驻审批流程,审核操作→状态变更→推送消息→审计日志记录,1.每行【审核】按钮2.审核结果单选3.驳回原因文本域4.确定按钮,商户审核接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P1,商户列表,商户冻结,冻结/解冻商户,平台管理员,1.登录成功2.超管权限,1.商户ID2.操作类型(冻结/解冻)3.冻结原因(冻结时必填),1.操作成功toast提示,1.二次确认弹窗2.冻结后按钮变成"解冻",1.更新商户状态2.冻结商户禁止登录下单,1.超管角色不能冻结→提示"无权操作",异常商户临时封禁,状态切换→限制登录→限制下单功能,1.冻结/解冻开关2.二次确认弹窗3.冻结原因输入,商户状态更新接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P1,合同列表,合同列表查询,查询商户合同列表,平台管理员,登录成功,1.商户名称2.合同状态(生效/已过期/已终止)3.时间范围,1.分页列表2.合同状态标签,1.多条件筛选2.状态不同颜色标签,1.无,1.无数据→空状态,商户合同归档管理,筛选条件→分页查询→列表渲染,1.筛选表单2.合同卡片3.状态标签,合同列表接口
待分配,,待开发,,,,平台端,商户管理,商户管理,P1,合同列表,新增合同,上传商户合同,平台管理员,登录成功,1.商户ID(必选)2.合同文件(必填,PDF≤10M)3.合同编号4.生效日期/到期日期,1.上传成功提示,1.文件上传显示进度2.商户下拉搜索,1.生成合同记录2.关联对应商户,1.文件格式错误→提示"请上传PDF",合同签署归档,选择商户→上传文件→创建合同关联,1.新增按钮2.商户下拉3.文件上传区,创建合同接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,商品分类,分类树管理,维护商品分类树形结构,平台管理员,登录成功,1.分类名称(必填,2-30字)2.父分类ID3.分类图标(可选)4.排序号(数字)5.状态(启用/停用),1.树形结构展示2.拖拽视觉反馈,1.拖拽调整层级排序2.右键菜单增删改3.编辑即时刷新,1.分类结构更新2.影响关联SPU,1.分类下有商品→删除提示"该分类下有商品"2.循环嵌套→拖拽无效,商品分类体系维护,拖拽→更新排序号→递归刷新子分类,1.树形面板2.新增按钮3.删除确认弹窗4.拖拽手柄,分类CRUD接口
待分配,,待开发,,,,平台端,商品管理,商品管理,P0,规格属性,属性组管理,维护规格属性分组,平台管理员,登录成功,1.属性组名称(必填,2-30字)2.排序号,1.属性组列表,1.弹窗编辑,1.属性组排序更新,1.重复名称→提示"名称已存在",规格体系定义,属性组→包含多个属性值,1.新增/编辑弹窗2.删除确认,属性组接口
