所属端,模块,一级菜单,二级菜单,功能点,功能说明,交互说明,业务场景逻辑,依赖外部接口
工程仓端,首页,工作台,工作台,数据概览,工程仓运营数据看板,卡片式展示统计数据,仓管员日常工作监控,无
工程仓端,商户中心,商户中心,主体信息,查看信息,查看工程仓主体信息,详情页展示,查看商户档案,获取主体信息接口
工程仓端,商户中心,商户中心,主体信息,编辑信息,修改工程仓基础信息,表单编辑提交,信息变更,更新主体信息接口
工程仓端,商户中心,商户中心,合同列表,合同列表,查看工程仓合同列表,列表展示,合同查看,合同列表接口
工程仓端,商品市场,商品市场,商品列表,商品浏览,供应商商品市场浏览,卡片式展示商品,浏览商品准备下单,商品列表接口
工程仓端,商品市场,商品市场,商品列表,加入购物车,将商品加入购物车,点击加入购物车按钮,选品采购,购物车接口
工程仓端,商品市场,商品市场,商品列表,商品详情,查看商品详细信息,详情页展示,商品详情查看,商品详情接口
工程仓端,商品市场,商品市场,购物车,购物车列表,查看购物车商品,列表展示,购物车管理,购物车列表接口
工程仓端,商品市场,商品市场,购物车,修改数量,修改购物车商品数量,数量增减按钮,调整采购量,购物车更新接口
工程仓端,商品市场,商品市场,购物车,删除商品,删除购物车商品,删除操作,移除商品,购物车删除接口
工程仓端,商品市场,商品市场,购物车,结算下单,购物车商品结算下单,跳转确认订单页面,创建采购单,创建订单接口
工程仓端,商品市场,商品市场,确认订单,确认订单信息,确认采购商品和金额,提交订单,确认下单,提交订单接口
工程仓端,商品市场,商品市场,采购计划,计划列表,查看采购计划列表,列表展示,采购计划管理,计划列表接口
工程仓端,商品市场,商品市场,采购计划,新建计划,创建采购计划,表单提交,制定采购计划,创建计划接口
工程仓端,商品市场,商品市场,采购计划,计划详情,查看采购计划详情,详情页展示,计划详情查看,计划详情接口
工程仓端,商品中心,商品中心,商品列表,库存商品列表,查看仓库内库存商品,列表展示,库存商品查看,商品列表接口
工程仓端,商品中心,商品中心,商品列表,按仓库筛选,按仓库筛选商品,下拉选择筛选,分仓库查看库存,无(前端筛选)
工程仓端,商品中心,商品中心,SPU详情,SPU详情查看,查看SPU信息,详情页展示,商品信息查看,SPU详情接口
工程仓端,商品中心,商品中心,SKU库存详情,SKU库存详情,查看SKU在各仓库的库存,详情页展示库存+批次+流水,库存详情查看,SKU库存接口
工程仓端,仓库管理,仓库管理,仓库列表,仓库列表,查看工程仓下的子仓库列表,列表展示,子仓库管理,仓库列表接口
工程仓端,仓库管理,仓库管理,仓库详情,仓库详情,查看子仓库详细信息,详情页展示,仓库详情查看,仓库详情接口
工程仓端,仓库管理,仓库管理,出入库管理,入库管理,入库单列表管理,列表展示+多Tab状态,入库管理,入库列表接口
工程仓端,仓库管理,仓库管理,出入库管理,批次数量显示,入库单显示批次数量,列表展示批次数量,多批次入库查看,无(前端处理)
工程仓端,仓库管理,仓库管理,出入库管理,批次详情弹窗,查看完整批次记录,弹窗展示明细,多批次入库明细查看,批次详情接口
工程仓端,仓库管理,仓库管理,出入库管理,开始收货,处理采购订单收货,弹窗处理,订单收货,收货接口
工程仓端,仓库管理,仓库管理,出入库管理,货损记录,收货时记录货损信息,货损数量+图片+说明,收货异常处理,货损接口
工程仓端,仓库管理,仓库管理,出入库管理,出库管理,出库单列表管理,列表展示+多Tab状态,出库管理,出库列表接口
工程仓端,仓库管理,仓库管理,出入库管理,库存盘点,盘点单列表管理,列表展示,库存盘点管理,盘点列表接口
工程仓端,仓库管理,仓库管理,库存调拨,调拨列表,仓库间调拨记录,列表展示,调拨管理,调拨列表接口
工程仓端,仓库管理,仓库管理,库存调拨,创建调拨,创建仓库间调拨单,表单提交,库存调拨,创建调拨接口
工程仓端,仓库管理,仓库管理,收货批次,批次列表,收货批次列表,列表展示,批次管理,批次列表接口
工程仓端,订单管理,订单管理,采购订单,订单列表,采购订单列表,多Tab状态筛选,采购订单管理,采购订单列表接口
工程仓端,订单管理,订单管理,采购订单,新建订单,手动创建采购订单,表单选择商品,紧急采购,创建采购订单接口
工程仓端,订单管理,订单管理,采购订单,订单详情,采购订单详细信息,详情页展示,订单详情查看,订单详情接口
工程仓端,订单管理,订单管理,采购订单,取消订单,取消待确认订单,取消操作,订单取消,取消订单接口
工程仓端,订单管理,订单管理,采购订单,订单收货,处理订单收货,触发收货弹窗,采购入库,收货接口
工程仓端,订单管理,订单管理,销售订单,订单列表,销售订单列表,多Tab状态筛选,销售订单管理,销售订单列表接口
工程仓端,订单管理,订单管理,销售订单,订单详情,销售订单详细信息,详情页展示,订单详情查看,订单详情接口
工程仓端,财务中心,财务中心,支付记录,支付流水,工程仓支付记录,列表展示,支付流水查询,支付列表接口
工程仓端,财务中心,财务中心,进项发票,进项发票列表,收到的供应商发票,列表展示,进项发票管理,发票列表接口
工程仓端,财务中心,财务中心,进项发票,上传发票,上传进项发票,上传附件,发票归档,发票上传接口
工程仓端,财务中心,财务中心,销项发票,销项发票列表,开给施工方的发票,列表展示,销项发票管理,发票列表接口
工程仓端,系统设置,系统设置,账号列表,账号列表,工程仓账号列表,列表展示,账号管理,账号列表接口
工程仓端,系统设置,系统设置,员工管理,员工列表,工程仓员工列表,列表展示,员工管理,员工列表接口
工程仓端,系统设置,系统设置,角色管理,角色列表,工程仓角色列表,列表展示,角色管理,角色列表接口
工程仓端,系统设置,系统设置,角色管理,权限配置,配置角色权限,勾选配置,权限分配,权限配置接口
