功能编码,Jira链接,开发状态,预估工时,开发负责人,测试负责人,所属端,模块,一级菜单,优先级,二级菜单,功能点,功能说明,适用角色,前置条件,输入字段,输出字段,交互说明,后置条件,异常场景,业务场景逻辑,数据流转,页面元素,依赖外部接口
待分配,,待开发,,,,施工方端,登录,登录,P0,登录,手机号登录,手机号验证码登录,施工方人员,未登录,1.手机号(格式校验)2.验证码(6位数字),1.登录成功→跳转首页2.失败→错误提示,1.获取验证码倒计时60s2.按钮置灰直到输入完成,1.保存token到本地2.记录登录时间,1.验证码错误→提示错误重新获取2.手机号未注册→提示,施工方人员登录,手机号→获取验证码→校验通过→登录成功,1.手机号输入框2.验证码输入框3.获取验证码按钮4.登录按钮,登录接口
待分配,,待开发,,,,施工方端,首页,首页,P0,首页,项目列表,施工方负责的项目列表,施工方人员,登录成功,1.无,1.项目卡片列表2.项目名称3.项目地址,1.卡片式布局,1.缓存上次选中项目,1.无权限项目→不显示,多项目切换,查询项目列表→渲染卡片,1.项目卡片2.切换按钮,项目列表接口
待分配,,待开发,,,,施工方端,首页,首页,P0,首页,项目切换,切换不同的项目仓库,施工方人员,1.登录成功2.至少有2个项目,1.目标项目ID,1.切换成功提示,1.点击项目卡片切换,1.更新全局选中项目2.刷新该项目数据,1.项目不存在→提示切换失败,多项目管理切换,切换项目→更新全局projectId→刷新所有页面数据,1.项目卡片点击区域2.选中项目高亮标记,无(前端状态管理)
待分配,,待开发,,,,施工方端,商品市场,商品市场,P0,商品列表,商品浏览,工程仓商品市场浏览,采购人员,登录成功+已选项目,1.分类ID2.搜索关键词3.排序(价格/销量),1.商品卡片列表(图片/名称/规格/价格),1.上拉加载更多2.下拉刷新,1.记录浏览,1.加载失败→重试,浏览商品准备下单,筛选条件→查询商品列表→渲染卡片,1.分类Tab2.搜索框3.商品卡片4.加载更多,商品列表接口
待分配,,待开发,,,,施工方端,商品市场,商品市场,P0,商品列表,加入购物车,将商品加入购物车,采购人员,1.登录成功2.库存>0,1.商品ID2.数量,1.成功提示+购物车角标+1,1.点击加入购物车按钮,1.购物车新增商品,1.库存不足→提示"库存不足",选品采购,商品ID+数量→加入购物车→刷新角标,1.加入购物车按钮2.购物车角标,购物车接口
待分配,,待开发,,,,施工方端,购物车,购物车,P0,购物车,购物车列表,查看购物车商品,采购人员,登录成功,1.无,1.商品列表2.选中商品总价,1.左滑删除2.数量加减,1.缓存选中状态,1.商品已下架→置灰不可选,购物车管理,查询购物车→渲染列表→计算总价,1.列表项2.数量加减按钮3.删除按钮4.去结算按钮,购物车列表接口
待分配,,待开发,,,,施工方端,购物车,购物车,P0,购物车,结算下单,购物车商品结算下单,采购人员,1.登录成功2.至少选中1件,1.购物车ID数组,1.跳转确认订单页,1.点击去结算,1.生成临时订单,1.库存变化→提示重新确认,创建采购单,选中商品→创建临时订单→跳转确认,1.结算按钮2.确认订单页,创建订单接口
待分配,,待开发,,,,施工方端,订单,订单,P0,订单列表,采购订单列表,采购/管理人员,登录成功,1.订单状态(待确认/待发货/已收货/已取消),1.多Tab切换2.订单列表,1.Tab切换,1.无,1.无数据→空插画,订单管理,状态筛选→查询订单列表→渲染,1.状态Tab2.订单卡片,订单列表接口
待分配,,待开发,,,,施工方端,订单,订单,P0,订单列表,订单详情,订单详细信息,采购人员,1.登录成功2.订单存在,1.订单ID,1.商品明细2.状态时间线3.物流信息,1.竖向时间线,1.标记已查看,1.订单不存在→返回列表,订单查看,订单ID→查询详情→渲染时间线,1.时间线2.商品明细3.收货按钮,订单详情接口
待分配,,待开发,,,,施工方端,订单,订单,P0,订单列表,确认收货,确认订单收货,采购人员,1.登录成功2.状态="待收货",1.订单ID,1.成功提示状态变"已完成",1.二次确认弹窗,1.更新订单状态2.触发结算,1.重复确认→提示"已收货",收到货物确认,点击确认收货→弹窗→更新状态,1.确认收货按钮2.弹窗,收货接口
待分配,,待开发,,,,施工方端,个人中心,个人中心,P1,个人信息,查看信息,查看个人信息,所有人员,登录成功,1.无,1.头像2.姓名3.手机号4.所属项目,1.列表展示,1.无,1.无数据→"-",查看个人档案,token→查询用户信息→渲染,1.信息列表2.编辑按钮,用户信息接口
待分配,,待开发,,,,施工方端,个人中心,个人中心,P0,退出登录,退出登录,退出系统,所有人员,登录成功,1.无,1.跳转登录页,1.二次确认弹窗,1.清除token2.清空缓存,1.无,安全退出系统,点击退出→确认→清除数据→跳转登录,1.退出按钮2.确认弹窗,退出登录接口
